id,class_session_id,lesson_question_id,user_id,group_id,logged_in_user,text,updated_on,parent_id,ip,visible
683390,19191,15223,34040,NULL,NULL,"&lt;p&gt;garlic mustard plants release toxins that prevent other plants from growing around them&nbsp;&lt;/p&gt;
","2023-10-10 16:44:15",0,134.126.253.115,1
683391,19191,15223,33949,NULL,NULL,"&lt;p&gt;Two male peacocks compete for a mate in the same area, the one with the prettier wings gets the mate.&lt;/p&gt;
","2023-10-10 16:44:54",0,134.126.253.118,1
683392,19191,15223,33949,NULL,NULL,"&lt;p&gt;Hyenas and lions compete for the similar prey (gazelle).&lt;/p&gt;
","2023-10-10 16:46:11",0,134.126.253.118,1
683393,19191,15223,34040,NULL,NULL,"&lt;p&gt;wolves compete with one another for territory in an area&nbsp;&lt;/p&gt;
","2023-10-10 16:46:33",0,134.126.253.115,1
683394,19191,15223,34040,NULL,NULL,"&lt;p&gt;rams fight one another by butting heads to compete for mates&lt;/p&gt;
","2023-10-10 16:47:26",0,134.126.253.115,1
683395,19191,15223,33949,NULL,NULL,"&lt;p&gt;two oak trees compete in the same area for nutrients, water, and light.&lt;/p&gt;
","2023-10-10 16:48:30",0,134.126.253.118,1
683396,19191,15223,33927,NULL,NULL,"&lt;p&gt;An Oak tree is taller than a pine tree and takes up more sunlight than the Pine tree.&nbsp;&lt;/p&gt;

&lt;p&gt;A White Tailed deer urinated and scraps its antlers on trees.&lt;/p&gt;

&lt;p&gt;An Owl takes control over a hole in a tree before another bird can.&nbsp;&lt;/p&gt;

&lt;p&gt;&nbsp;&lt;/p&gt;
","2023-10-10 16:48:57",0,134.126.253.103,1
683397,19191,15223,34061,NULL,NULL,"&lt;p&gt;the competition between plants for space, nutrients and water&lt;/p&gt;
","2023-10-10 16:49:42",0,134.126.253.88,1
683398,19191,15223,33927,NULL,NULL,"&lt;p&gt;A White Tailed deer urinated and scraps its antlers on trees.&lt;/p&gt;
","2023-10-10 16:49:42",683396,134.126.253.103,1
683399,19191,15223,33925,NULL,NULL,"&lt;p&gt;An invasive species of Garlic Mustard plants,&nbsp;&lt;em&gt;Alliaria petiolata,&nbsp;&lt;/em&gt;is known to take over people&#039;s gardens by releasing a toxic chemical into the soil, which often kills or inhibits other plant&#039;s ability to grow and survive.&nbsp;&lt;/p&gt;
","2023-10-10 16:49:47",0,134.126.113.83,1
683400,19191,15223,33927,NULL,NULL,"&lt;p&gt;A White Tailed deer urinated and scraps its antlers on trees.&lt;/p&gt;
","2023-10-10 16:50:06",0,134.126.253.103,1
